emp_sai fornec          den_reduz  data_sai   oper_sai cliente         nota_sai   seq_sai        item_sai        qtd_sai                            cus_unit_sai        cus_total_sai                      conta_deb               emp_dest recebedor       den_reduz  data_ent   oper_ent cod_fornecedor  nota_ent                                    seq_ent        item_ent        qtd_ent                            cus_unit_ent        cus_total_ent                      conta_cre               difer                              
------- --------------- ---------- ---------- -------- --------------- ---------- -------------- --------------- ---------------------------------- ------------------- ---------------------------------- ----------------------- -------- --------------- ---------- ---------- -------- --------------- ------------------------------------------- -------------- --------------- ---------------------------------- ------------------- ---------------------------------- ----------------------- ---------------------------------- 
64      002591818000747 SJP-2147   2013-10-02 TRAS     002591818000313 013228-1   1              5001056         1120,000                           4,170800            4671,296                           1140215                 65       002591818000313 JUN-1891   2013-10-03 TRAE     002591818000747 013228-1                                    1              5001056         1120,000                           4,170759            4671,25008                         1140215                 0,0                                
64      002591818000747 SJP-2147   2013-10-02 TRAS     002591818000313 013228-1   2              5001072         1120,000                           4,532900            5076,848                           1140215                 65       002591818000313 JUN-1891   2013-10-03 TRAE     002591818000747 013228-1                                    2              5001072         1120,000                           4,532884            5076,83008                         1140215                 0,0                                
64      002591818000747 SJP-2147   2013-10-02 TRAS     002591818000313 013229-1   1              6005241         420,000                            8,918000            3745,56                            1140215                 65       002591818000313 JUN-1891   2013-10-03 TRAE     002591818000747 013229-1                                    1              5000874         420,000                            8,918000            3745,56                            1140215                 0,0                                
64      002591818000747 SJP-2147   2013-10-02 TRAS     002591818000313 013229-1   2              6005225         420,000                            8,824900            3706,458                           1140215                 65       002591818000313 JUN-1891   2013-10-03 TRAE     002591818000747 013229-1                                    2              5001021         420,000                            8,824905            3706,4601                          1140215                 0,0                                
64      002591818000747 SJP-2147   2013-10-02 TRAS     002591818000313 013229-1   3              6005250         420,000                            8,737700            3669,834                           1140215                 65       002591818000313 JUN-1891   2013-10-03 TRAE     002591818000747 013229-1                                    3              5000955         420,000                            8,737690            3669,8298                          1140215                 0,0                                
64      002591818000747 SJP-2147   2013-10-02 TRAS     002591818000313 013229-1   4              6005233         840,000                            8,494000            7134,96                            1140215                 65       002591818000313 JUN-1891   2013-10-03 TRAE     002591818000747 013229-1                                    4              5001030         840,000                            8,494024            7134,98016                         1140215                 0,0                                
64      002591818000747 SJP-2147   2013-10-02 TRAS     002591818000313 013242-1   1              8072744         800,000                            38,194600           30555,68                           1140215                 65       002591818000313 JUN-1891   2013-10-03 TRAE     002591818000747 013242-1                                    1              8072744         800,000                            38,194638           30555,7104                         1140215                 0,0                                
64      002591818000747 SJP-2147   2013-10-02 TRAS     002591818000313 013242-1   2              8072752         360,000                            13,600700           4896,252                           1140215                 65       002591818000313 JUN-1891   2013-10-03 TRAE     002591818000747 013242-1                                    2              8072752         360,000                            13,600667           4896,24012                         1140215                 0,0                                
64      002591818000747 SJP-2147   2013-10-02 TRAS     002591818000313 013242-1   3              8072760         840,000                            14,052600           11804,184                          1140215                 65       002591818000313 JUN-1891   2013-10-03 TRAE     002591818000747 013242-1                                    3              8072760         840,000                            14,052631           11804,21004                        1140215                 0,0                                
